13,CPLEX Default,lunghezza crescente,score somma crescente,score medio crescente,lunghezza crescente duplicati in cima,score somma crescente duplicati in cima,score medio crescente duplicati in cima,lunghezza decrescente,score somma decrescente,score medio decrescente,lunghezza decrescente duplicati in cima,score somma decrescente duplicati in cima,score medio decrescente duplicati in cima
../Dataset/ReducedLP/scpc2_reduced.lp,0.967596,0.36339099999999996,0.36088000000000003,0.356749,0.369429,0.36340300000000003,0.36861700000000003,0.366398,0.35743600000000003,0.360043,0.365063,0.357562,0.357486
../Dataset/ReducedLP/scpc2_reduced.lp,0.354241,0.35139499999999996,0.362471,0.360651,0.351729,0.350869,0.350404,0.350694,0.359118,0.358169,0.352903,0.359773,0.363582
../Dataset/ReducedLP/scpc2_reduced.lp,0.351648,0.367978,0.364365,0.359844,0.364221,0.359096,0.361144,0.364146,0.360941,0.364179,0.680523,0.364245,0.36249499999999996
../Dataset/ReducedLP/scpc2_reduced.lp,0.35070500000000004,0.351425,0.357672,0.354875,0.35620999999999997,0.363225,0.357969,0.353576,0.35144899999999996,0.348756,0.360295,0.35894899999999996,0.369703
../Dataset/ReducedLP/scpc2_reduced.lp,0.345288,0.602633,0.34331500000000004,0.34121999999999997,0.351227,0.348619,0.34838800000000003,0.345852,0.346587,0.34426999999999996,0.350242,0.34534699999999996,0.343853
../Dataset/ReducedLP/scpc3_reduced.lp,0.929154,0.741887,0.710313,0.387348,0.394465,0.382567,0.380006,0.399379,0.38645999999999997,0.371915,0.39315,0.7142069999999999,0.392627
../Dataset/ReducedLP/scpc3_reduced.lp,0.355814,0.369027,0.36698800000000004,0.376671,0.369293,0.362264,0.36424,0.370149,0.369548,0.376743,0.369262,0.366979,0.372027
../Dataset/ReducedLP/scpc3_reduced.lp,0.355459,0.38381,0.391324,0.38766,0.40624,0.390127,0.390276,0.384558,0.369963,0.384996,0.40155100000000005,0.388569,0.38462399999999997
../Dataset/ReducedLP/scpc3_reduced.lp,0.361836,0.36907399999999996,0.369352,0.374678,0.38687,0.379899,0.41580900000000004,0.376202,0.36506900000000003,0.362584,0.37645100000000004,0.37902600000000003,0.36346999999999996
../Dataset/ReducedLP/scpc3_reduced.lp,0.372698,0.385546,0.391468,0.38925,0.391443,0.388187,0.406742,0.39256199999999997,0.391931,0.39505300000000004,0.382343,0.386288,0.391428
