13,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,lunghezza decrescente,score reduced costs somma decrescente,score reduced costs medio decrescente,lunghezza decrescente duplicati in cima,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpclr11_reduced.lp,849875,780274,868648,868648,780274,780274,780274,926107,958486,692689,1169560,1169560,1169560
../Dataset/ReducedLP/scpclr11_reduced.lp,695920,728428,844352,844352,728428,728428,728428,854984,921631,908025,1018332,1018332,1018332
../Dataset/ReducedLP/scpclr11_reduced.lp,725485,861508,900142,1002460,861508,861508,861508,972358,1037262,938487,1652049,1652049,1652049
../Dataset/ReducedLP/scpclr11_reduced.lp,778095,782468,853971,853971,782468,782468,782468,863510,878089,725508,890848,890848,890848
../Dataset/ReducedLP/scpclr11_reduced.lp,732323,951154,809366,809366,951154,951154,951154,765292,864441,779719,883389,883389,883389
../Dataset/ReducedLP/scpclr11_reduced.lp,886695,736971,817560,817560,736971,736971,736971,886683,997826,767592,1136494,1136494,1136494
../Dataset/ReducedLP/scpd1_reduced.lp,115,165,107,107,161,161,161,102,117,93,163,163,163
../Dataset/ReducedLP/scpd1_reduced.lp,107,99,119,119,101,101,101,106,95,106,100,100,100
../Dataset/ReducedLP/scpd1_reduced.lp,107,101,108,108,94,94,94,108,102,97,107,107,107
../Dataset/ReducedLP/scpd1_reduced.lp,101,111,90,90,109,109,109,106,107,97,105,105,105
../Dataset/ReducedLP/scpd1_reduced.lp,102,125,98,98,111,111,111,117,101,106,93,93,93
../Dataset/ReducedLP/scpd1_reduced.lp,110,132,131,131,139,139,139,121,109,109,132,132,132
../Dataset/ReducedLP/scpd1_reduced.lp,98,107,106,106,96,96,96,102,93,86,105,105,105
../Dataset/ReducedLP/scpd1_reduced.lp,93,106,103,103,95,95,95,95,96,96,115,115,115
../Dataset/ReducedLP/scpd1_reduced.lp,118,137,114,114,145,145,145,117,97,102,141,141,141
../Dataset/ReducedLP/scpd1_reduced.lp,113,108,100,100,98,98,98,93,113,93,97,97,97
../Dataset/ReducedLP/scpd2_reduced.lp,1311,1326,1173,1173,1204,1204,1204,1154,1115,1069,1217,1217,1217
../Dataset/ReducedLP/scpd2_reduced.lp,2097,1834,1378,1378,1580,1580,1580,1589,1585,1487,1592,1592,1592
../Dataset/ReducedLP/scpd2_reduced.lp,1363,1619,1538,1538,1581,1581,1581,1431,1483,1481,1673,1673,1673
../Dataset/ReducedLP/scpd2_reduced.lp,1382,1465,1513,1513,1388,1388,1388,1528,1555,1410,1640,1640,1640
../Dataset/ReducedLP/scpd2_reduced.lp,1707,1653,1620,1620,1368,1368,1368,1757,1487,1468,1503,1503,1503
../Dataset/ReducedLP/scpd2_reduced.lp,1730,1924,1575,1575,1911,1911,1911,1974,1390,1613,1531,1531,1531
../Dataset/ReducedLP/scpd2_reduced.lp,1847,1657,1575,1575,1491,1491,1491,1662,1606,1563,1711,1711,1711
../Dataset/ReducedLP/scpd2_reduced.lp,1331,1527,1585,1585,1256,1256,1256,1721,1183,1170,1620,1620,1620
../Dataset/ReducedLP/scpd2_reduced.lp,1713,1881,1457,1457,1700,1700,1700,1824,1764,1981,2095,2095,2095
../Dataset/ReducedLP/scpd2_reduced.lp,1235,1251,1112,1112,1300,1300,1300,1304,1186,1180,1248,1248,1248
../Dataset/ReducedLP/scpd3_reduced.lp,1249,1025,952,952,909,909,909,1019,1111,1411,1159,1159,1159
../Dataset/ReducedLP/scpd3_reduced.lp,907,894,893,893,962,962,962,977,882,879,1250,1250,1250
../Dataset/ReducedLP/scpd3_reduced.lp,813,923,900,900,836,836,836,884,948,790,933,933,933
../Dataset/ReducedLP/scpd3_reduced.lp,1008,943,872,872,907,907,907,954,871,829,900,900,900
../Dataset/ReducedLP/scpd3_reduced.lp,869,797,853,853,945,945,945,844,1261,878,1069,1069,1069
../Dataset/ReducedLP/scpd3_reduced.lp,971,1037,925,925,943,943,943,817,895,910,950,950,950
../Dataset/ReducedLP/scpd3_reduced.lp,1083,919,1252,1252,1161,1161,1161,968,1000,913,854,854,854
../Dataset/ReducedLP/scpd3_reduced.lp,921,1031,791,791,1172,1172,1172,803,801,819,852,852,852
../Dataset/ReducedLP/scpd3_reduced.lp,930,873,946,946,908,908,908,840,838,853,826,826,826
../Dataset/ReducedLP/scpd3_reduced.lp,959,849,1064,1064,848,848,848,822,768,989,966,966,966
../Dataset/ReducedLP/scpd4_reduced.lp,643,1379,1052,1052,1017,1017,1017,1115,976,1011,1296,1296,1296
../Dataset/ReducedLP/scpd4_reduced.lp,453,415,362,362,461,461,461,414,377,420,416,416,416
../Dataset/ReducedLP/scpd4_reduced.lp,528,724,1207,1207,630,630,630,790,586,927,1492,1492,1492
../Dataset/ReducedLP/scpd4_reduced.lp,452,492,486,486,485,485,485,485,425,418,492,492,492
../Dataset/ReducedLP/scpd4_reduced.lp,542,543,526,526,473,473,473,501,562,525,557,557,557
../Dataset/ReducedLP/scpd4_reduced.lp,565,584,599,599,583,583,583,563,543,543,583,583,583
../Dataset/ReducedLP/scpd4_reduced.lp,445,518,519,519,435,435,435,433,426,474,445,445,445
../Dataset/ReducedLP/scpd4_reduced.lp,409,408,358,358,344,344,344,344,344,320,360,360,360
../Dataset/ReducedLP/scpd4_reduced.lp,950,801,817,817,526,526,526,1069,594,580,509,509,509
../Dataset/ReducedLP/scpd4_reduced.lp,454,503,534,534,495,495,495,529,470,446,562,562,562
../Dataset/ReducedLP/scpnre1_reduced.lp,40036,48965,39546,39546,47370,47370,47370,42014,43940,39932,41912,41912,41912
../Dataset/ReducedLP/scpnre1_reduced.lp,39621,38403,42774,42774,41738,41738,41738,44603,41211,41310,39936,39936,39936
../Dataset/ReducedLP/scpnre1_reduced.lp,39813,42019,40884,40884,46511,46511,46511,43311,43370,35854,34097,34097,34097
../Dataset/ReducedLP/scpnre1_reduced.lp,36224,37996,39557,39557,43851,43851,43851,41154,35042,34849,36345,36345,36345
../Dataset/ReducedLP/scpnre1_reduced.lp,40510,41671,34204,34204,40912,40912,40912,38621,36120,38338,37400,37400,37400
../Dataset/ReducedLP/scpnre1_reduced.lp,42625,47112,43225,43225,44136,44136,44136,38144,36289,35172,40816,40816,40816
../Dataset/ReducedLP/scpnre1_reduced.lp,40468,43089,38009,38009,42152,42152,42152,39536,36923,48657,38367,38367,38367
../Dataset/ReducedLP/scpnre1_reduced.lp,39612,42850,42700,42700,41243,41243,41243,40320,36908,33551,39749,39749,39749
../Dataset/ReducedLP/scpnre1_reduced.lp,44427,39822,38523,38523,43007,43007,43007,43540,40375,40947,39075,39075,39075
../Dataset/ReducedLP/scpnre1_reduced.lp,35150,38158,39186,39186,37911,37911,37911,39287,36214,33483,37085,37085,37085
../Dataset/ReducedLP/scpnre2_reduced.lp,536083,646440,128708,129070,339218,204396,204396,566118,343478,508080,142524,611457,605488
../Dataset/ReducedLP/scpnre2_reduced.lp,706723,409657,304697,304697,260371,260335,260335,605755,591403,338757,514633,167303,608789
../Dataset/ReducedLP/scpnre2_reduced.lp,463059,287771,130388,130388,244340,122695,122695,194221,459518,596598,494911,123861,497285
../Dataset/ReducedLP/scpnre2_reduced.lp,462038,574816,286528,288500,503344,112999,112999,299390,629154,330511,531111,157254,432016
../Dataset/ReducedLP/scpnre2_reduced.lp,435190,474308,585763,576384,330777,331111,331111,498488,407148,523103,302000,301866,301675
../Dataset/ReducedLP/scpnre2_reduced.lp,151911,472646,527724,595268,456866,332299,332299,352206,631691,501858,316608,317720,318363
../Dataset/ReducedLP/scpnre2_reduced.lp,317041,506821,284413,399184,230776,229921,229921,293696,551175,484042,560014,175736,558330
../Dataset/ReducedLP/scpnre2_reduced.lp,376478,419133,276600,276600,264092,279979,279979,237518,549635,496737,136107,125220,115436
../Dataset/ReducedLP/scpnre2_reduced.lp,255435,487572,568717,578488,356314,357784,357784,548928,227345,530518,711310,525025,709018
../Dataset/ReducedLP/scpnre2_reduced.lp,529316,548621,312456,312456,416742,532883,532883,550139,586673,561036,696263,697465,699930
../Dataset/ReducedLP/scpnre3_reduced.lp,41626,13343,35963,35963,12380,12380,12380,13473,32403,45939,14512,14512,14512
../Dataset/ReducedLP/scpnre3_reduced.lp,12856,19099,46946,46946,12259,12259,12259,25405,26912,15637,13937,13937,13937
../Dataset/ReducedLP/scpnre3_reduced.lp,13708,12778,12922,12922,42821,42821,42821,61261,71146,22464,12882,12882,12882
../Dataset/ReducedLP/scpnre3_reduced.lp,14521,28778,40376,40376,15248,15248,15248,22937,19750,18656,42738,42738,42738
../Dataset/ReducedLP/scpnre3_reduced.lp,17054,19439,52508,52508,12642,12642,12642,13686,19134,13060,13493,13493,13493
../Dataset/ReducedLP/scpnre3_reduced.lp,12862,34312,35179,35179,21401,21401,21401,58712,47952,77404,54725,54725,54725
../Dataset/ReducedLP/scpnre3_reduced.lp,36693,17360,77882,77882,19810,19810,19810,17789,69617,12994,24347,24347,24347
../Dataset/ReducedLP/scpnre3_reduced.lp,14137,34758,43454,43454,20135,20135,20135,63840,17904,63865,47601,47601,47601
../Dataset/ReducedLP/scpnre3_reduced.lp,56149,41108,14868,14868,12423,12423,12423,49177,13296,12778,14235,14235,14235
../Dataset/ReducedLP/scpnre3_reduced.lp,15113,18408,36005,36005,16680,16680,16680,12657,17654,14190,12835,12835,12835
../Dataset/ReducedLP/scpnre4_reduced.lp,34708,33383,76828,76828,41093,41093,41093,119962,166895,69327,79648,79648,79648
../Dataset/ReducedLP/scpnre4_reduced.lp,30147,84392,130191,130191,30485,30485,30485,76898,39568,34585,65600,65600,65600
../Dataset/ReducedLP/scpnre4_reduced.lp,93779,62695,96060,96060,85587,85587,85587,66673,201199,44694,92302,92302,92302
../Dataset/ReducedLP/scpnre4_reduced.lp,52175,70054,81945,81945,30533,30533,30533,144416,60162,31725,86370,86370,86370
../Dataset/ReducedLP/scpnre4_reduced.lp,36110,75489,61729,61729,122491,122491,122491,85866,91171,66594,69048,69048,69048
../Dataset/ReducedLP/scpnre4_reduced.lp,54204,82239,36360,36360,113839,113839,113839,33722,115559,47363,73627,73627,73627
../Dataset/ReducedLP/scpnre4_reduced.lp,114733,80848,37515,37515,35388,35388,35388,32597,31614,58048,85297,85297,85297
../Dataset/ReducedLP/scpnre4_reduced.lp,107653,116276,104173,104173,115849,115849,115849,107820,46918,151906,73459,73459,73459
../Dataset/ReducedLP/scpnre4_reduced.lp,97416,84884,120811,120811,45904,45904,45904,111702,77681,44037,63718,63718,63718
../Dataset/ReducedLP/scpnre4_reduced.lp,43572,79393,78273,78273,60111,60111,60111,48012,101915,68568,90613,90613,90613
../Dataset/ReducedLP/scpnre5_reduced.lp,9649,9566,8573,8573,8872,8872,8872,8591,8820,9220,8162,8162,8162
../Dataset/ReducedLP/scpnre5_reduced.lp,9131,9333,9261,9261,9103,9103,9103,8450,8687,8553,8696,8696,8696
../Dataset/ReducedLP/scpnre5_reduced.lp,8782,9580,8989,8989,8853,8853,8853,8220,7868,8659,8193,8193,8193
../Dataset/ReducedLP/scpnre5_reduced.lp,10193,9426,10382,10382,9784,9784,9784,8986,9416,9552,9291,9291,9291
../Dataset/ReducedLP/scpnre5_reduced.lp,8961,10744,10853,10853,9401,9401,9401,8951,8924,10103,9287,9287,9287
../Dataset/ReducedLP/scpnre5_reduced.lp,9913,9903,9921,9921,9550,9550,9550,11573,9097,11870,9680,9680,9680
../Dataset/ReducedLP/scpnre5_reduced.lp,10052,10816,9447,9447,9783,9783,9783,9332,9138,8808,9320,9320,9320
../Dataset/ReducedLP/scpnre5_reduced.lp,9627,9296,10171,10171,9680,9680,9680,11389,9293,9030,8900,8900,8900
../Dataset/ReducedLP/scpnre5_reduced.lp,8738,9185,8053,8053,9383,9383,9383,9611,9835,8890,8546,8546,8546
../Dataset/ReducedLP/scpnre5_reduced.lp,8555,9096,10450,10450,9611,9611,9611,9741,8994,9011,9950,9950,9950
