2,CPLEX Default,α = 5.0 λ = 100
../Dataset/ReducedLP/scpnre1_reduced.lp,39813,46511
../Dataset/ReducedLP/scpnre1_reduced.lp,44427,43007
../Dataset/ReducedLP/scpnre1_reduced.lp,36224,43851
../Dataset/ReducedLP/scpnre1_reduced.lp,35150,37911
../Dataset/ReducedLP/scpnre1_reduced.lp,40510,40912
../Dataset/ReducedLP/scpnre2_reduced.lp,376478,456866
../Dataset/ReducedLP/scpnre2_reduced.lp,706723,339218
../Dataset/ReducedLP/scpnre2_reduced.lp,317041,230776
../Dataset/ReducedLP/scpnre2_reduced.lp,536083,260371
../Dataset/ReducedLP/scpnre2_reduced.lp,151911,264092
../Dataset/ReducedLP/scpnre2_reduced.lp,463059,244340
../Dataset/ReducedLP/scpnre2_reduced.lp,529316,356314
../Dataset/ReducedLP/scpnre2_reduced.lp,462038,503344
../Dataset/ReducedLP/scpnre2_reduced.lp,255435,416742
../Dataset/ReducedLP/scpnre2_reduced.lp,435190,330777
../Dataset/ReducedLP/scpnre3_reduced.lp,12862,21401
../Dataset/ReducedLP/scpnre3_reduced.lp,41626,12380
../Dataset/ReducedLP/scpnre3_reduced.lp,36693,19810
../Dataset/ReducedLP/scpnre3_reduced.lp,12856,12259
../Dataset/ReducedLP/scpnre3_reduced.lp,14137,20135
../Dataset/ReducedLP/scpnre3_reduced.lp,13708,42821
../Dataset/ReducedLP/scpnre3_reduced.lp,56149,12423
../Dataset/ReducedLP/scpnre3_reduced.lp,14521,15248
../Dataset/ReducedLP/scpnre3_reduced.lp,15113,16680
../Dataset/ReducedLP/scpnre3_reduced.lp,17054,12642
../Dataset/ReducedLP/scpnre4_reduced.lp,114733,113839
../Dataset/ReducedLP/scpnre4_reduced.lp,34708,41093
../Dataset/ReducedLP/scpnre4_reduced.lp,54204,35388
../Dataset/ReducedLP/scpnre4_reduced.lp,30147,30485
../Dataset/ReducedLP/scpnre4_reduced.lp,107653,115849
../Dataset/ReducedLP/scpnre4_reduced.lp,93779,85587
../Dataset/ReducedLP/scpnre4_reduced.lp,97416,45904
../Dataset/ReducedLP/scpnre4_reduced.lp,52175,30533
../Dataset/ReducedLP/scpnre4_reduced.lp,43572,60111
../Dataset/ReducedLP/scpnre4_reduced.lp,36110,122491
../Dataset/ReducedLP/scpnre5_reduced.lp,9913,9550
../Dataset/ReducedLP/scpnre5_reduced.lp,9649,8872
../Dataset/ReducedLP/scpnre5_reduced.lp,10052,9783
../Dataset/ReducedLP/scpnre5_reduced.lp,9131,9103
../Dataset/ReducedLP/scpnre5_reduced.lp,9627,9680
../Dataset/ReducedLP/scpnre5_reduced.lp,8782,8853
../Dataset/ReducedLP/scpnre5_reduced.lp,8738,9383
../Dataset/ReducedLP/scpnre5_reduced.lp,10193,9784
../Dataset/ReducedLP/scpnre5_reduced.lp,8555,9611
../Dataset/ReducedLP/scpnre5_reduced.lp,8961,9401
../Dataset/ReducedLP/scpnrf1_reduced.lp,37575,38175
../Dataset/ReducedLP/scpnrf1_reduced.lp,36044,35776
../Dataset/ReducedLP/scpnrf1_reduced.lp,41231,33407
../Dataset/ReducedLP/scpnrf1_reduced.lp,42040,34406
../Dataset/ReducedLP/scpnrf1_reduced.lp,39250,37939
../Dataset/ReducedLP/scpnrf1_reduced.lp,44720,38526
../Dataset/ReducedLP/scpnrf1_reduced.lp,47553,40797
../Dataset/ReducedLP/scpnrf1_reduced.lp,39662,42685
../Dataset/ReducedLP/scpnrf1_reduced.lp,36316,32482
../Dataset/ReducedLP/scpnrf1_reduced.lp,43380,37227
../Dataset/ReducedLP/scpnrf2_reduced.lp,20017,20515
../Dataset/ReducedLP/scpnrf2_reduced.lp,23562,19657
../Dataset/ReducedLP/scpnrf2_reduced.lp,21770,19241
../Dataset/ReducedLP/scpnrf2_reduced.lp,21766,19197
../Dataset/ReducedLP/scpnrf2_reduced.lp,20818,21200
../Dataset/ReducedLP/scpnrf2_reduced.lp,19286,21935
../Dataset/ReducedLP/scpnrf2_reduced.lp,19208,16855
../Dataset/ReducedLP/scpnrf2_reduced.lp,20784,17757
../Dataset/ReducedLP/scpnrf2_reduced.lp,20923,18373
../Dataset/ReducedLP/scpnrf2_reduced.lp,21594,18192
../Dataset/ReducedLP/scpnrf3_reduced.lp,4664,3714
../Dataset/ReducedLP/scpnrf3_reduced.lp,10367,4668
../Dataset/ReducedLP/scpnrf3_reduced.lp,20403,19953
../Dataset/ReducedLP/scpnrf3_reduced.lp,4090,3632
../Dataset/ReducedLP/scpnrf3_reduced.lp,4188,3347
../Dataset/ReducedLP/scpnrf3_reduced.lp,10671,16051
../Dataset/ReducedLP/scpnrf3_reduced.lp,5190,5423
../Dataset/ReducedLP/scpnrf3_reduced.lp,7180,11684
../Dataset/ReducedLP/scpnrf3_reduced.lp,4270,3283
../Dataset/ReducedLP/scpnrf3_reduced.lp,12451,13098
../Dataset/ReducedLP/scpnrf4_reduced.lp,72027,71346
../Dataset/ReducedLP/scpnrf4_reduced.lp,64893,71457
../Dataset/ReducedLP/scpnrf4_reduced.lp,57583,72092
../Dataset/ReducedLP/scpnrf4_reduced.lp,98179,63913
../Dataset/ReducedLP/scpnrf4_reduced.lp,70799,62922
../Dataset/ReducedLP/scpnrf4_reduced.lp,57914,77236
../Dataset/ReducedLP/scpnrf4_reduced.lp,60386,61576
../Dataset/ReducedLP/scpnrf4_reduced.lp,63332,60477
../Dataset/ReducedLP/scpnrf4_reduced.lp,66894,72373
../Dataset/ReducedLP/scpnrf4_reduced.lp,68638,74396
../Dataset/ReducedLP/scpnrf5_reduced.lp,57128,48637
../Dataset/ReducedLP/scpnrf5_reduced.lp,76543,50736
../Dataset/ReducedLP/scpnrf5_reduced.lp,59384,81379
../Dataset/ReducedLP/scpnrf5_reduced.lp,88434,389421
../Dataset/ReducedLP/scpnrf5_reduced.lp,69980,46518
../Dataset/ReducedLP/scpnrf5_reduced.lp,76428,64563
../Dataset/ReducedLP/scpnrf5_reduced.lp,286647,50930
../Dataset/ReducedLP/scpnrf5_reduced.lp,61145,51011
../Dataset/ReducedLP/scpnrf5_reduced.lp,52829,49663
../Dataset/ReducedLP/scpnrf5_reduced.lp,112317,283666
../Dataset/ReducedLP/scpnrg1_reduced.lp,2323266,2071878
../Dataset/ReducedLP/scpnrg1_reduced.lp,2476346,2272407
../Dataset/ReducedLP/scpnrg1_reduced.lp,1850854,2370176
../Dataset/ReducedLP/scpnrg1_reduced.lp,1858812,2076612
../Dataset/ReducedLP/scpnrg1_reduced.lp,2447778,1593734
../Dataset/ReducedLP/scpnrg1_reduced.lp,1822250,2315470
../Dataset/ReducedLP/scpnrg1_reduced.lp,2383678,2108024
../Dataset/ReducedLP/scpnrg1_reduced.lp,2138117,2163203
../Dataset/ReducedLP/scpnrg1_reduced.lp,2390937,1945826
../Dataset/ReducedLP/scpnrg1_reduced.lp,2212276,2189260
../Dataset/ReducedLP/scpnrg2_reduced.lp,344151,758537
../Dataset/ReducedLP/scpnrg2_reduced.lp,1422496,2116139
../Dataset/ReducedLP/scpnrg2_reduced.lp,1236896,969843
../Dataset/ReducedLP/scpnrg2_reduced.lp,1376563,1563113
../Dataset/ReducedLP/scpnrg2_reduced.lp,783064,607912
../Dataset/ReducedLP/scpnrg2_reduced.lp,289150,313259
../Dataset/ReducedLP/scpnrg2_reduced.lp,696472,725175
../Dataset/ReducedLP/scpnrg2_reduced.lp,1148329,926171
../Dataset/ReducedLP/scpnrg2_reduced.lp,1812631,2594395
../Dataset/ReducedLP/scpnrg2_reduced.lp,504687,284520
