11,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,score reduced costs somma decrescente,score reduced costs medio decrescente,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpclr11_reduced.lp,732323,939143,1102787,1102787,939143,939143,939143,1326409,748943,1563698,1568281
../Dataset/ReducedLP/scpclr11_reduced.lp,886695,654517,906601,906601,654517,654517,654517,722125,637357,1419434,1419024
../Dataset/ReducedLP/scpd1_reduced.lp,115,114,96,96,157,157,157,99,98,155,155
../Dataset/ReducedLP/scpd1_reduced.lp,107,103,101,101,107,107,107,96,114,99,99
../Dataset/ReducedLP/scpd1_reduced.lp,107,111,128,128,109,109,109,98,118,109,109
../Dataset/ReducedLP/scpd1_reduced.lp,101,111,99,99,100,100,100,124,119,98,98
../Dataset/ReducedLP/scpd1_reduced.lp,102,126,92,92,97,97,97,137,116,111,111
../Dataset/ReducedLP/scpd1_reduced.lp,110,111,106,106,146,146,146,111,109,125,125
../Dataset/ReducedLP/scpd1_reduced.lp,98,114,107,107,94,94,94,85,125,110,110
../Dataset/ReducedLP/scpd1_reduced.lp,93,100,101,101,97,97,97,109,109,96,96
../Dataset/ReducedLP/scpd1_reduced.lp,118,131,124,124,154,154,154,91,99,129,129
../Dataset/ReducedLP/scpd1_reduced.lp,113,104,97,97,105,105,105,93,96,98,98
../Dataset/ReducedLP/scpd2_reduced.lp,1311,1294,1232,1232,1291,1291,1291,1060,1079,1059,1059
../Dataset/ReducedLP/scpd2_reduced.lp,2097,1596,1341,1341,1540,1540,1540,1527,1304,1519,1519
../Dataset/ReducedLP/scpd2_reduced.lp,1363,1633,1508,1508,1314,1314,1314,1552,1410,1455,1455
../Dataset/ReducedLP/scpd2_reduced.lp,1382,1667,1517,1517,1481,1481,1481,1456,1492,1500,1500
../Dataset/ReducedLP/scpd2_reduced.lp,1707,1686,1435,1435,1550,1550,1550,1360,1487,1524,1524
../Dataset/ReducedLP/scpd2_reduced.lp,1730,2053,1671,1671,1924,1924,1924,1628,1409,1691,1691
../Dataset/ReducedLP/scpd2_reduced.lp,1847,1575,1443,1443,1386,1386,1386,1421,1519,1514,1514
../Dataset/ReducedLP/scpd2_reduced.lp,1331,1741,1206,1206,1400,1400,1400,1199,1177,1181,1181
../Dataset/ReducedLP/scpd2_reduced.lp,1713,2247,1907,1907,2046,2046,2046,1544,1711,1588,1588
../Dataset/ReducedLP/scpd2_reduced.lp,1235,1335,1168,1168,1286,1286,1286,1182,1131,1250,1250
../Dataset/ReducedLP/scpd3_reduced.lp,1249,945,1291,1291,1224,1224,1224,1274,1013,872,872
../Dataset/ReducedLP/scpd3_reduced.lp,907,816,776,776,860,860,860,947,848,890,890
../Dataset/ReducedLP/scpd3_reduced.lp,813,994,826,826,1118,1118,1118,748,846,839,839
../Dataset/ReducedLP/scpd3_reduced.lp,1008,1293,848,848,897,897,897,1061,824,825,825
../Dataset/ReducedLP/scpd3_reduced.lp,869,957,922,922,880,880,880,799,838,1011,1011
../Dataset/ReducedLP/scpd3_reduced.lp,971,892,792,792,875,875,875,771,1141,808,808
../Dataset/ReducedLP/scpd3_reduced.lp,1083,860,807,807,886,886,886,734,770,817,817
