Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpd4_reduced.lp,0.883303,62.000000,62.000000,0.000000,1296,0,103,758,1867,4,1,1,3,5.0,100,1,1,0,0,5.825662
../Dataset/ReducedLP/scpd4_reduced.lp,0.587531,62.000000,62.000000,0.000000,416,0,36,182,3363,4,1,1,3,5.0,100,1,1,0,0,8.215811
../Dataset/ReducedLP/scpd4_reduced.lp,0.942935,62.000000,62.000000,0.000000,1492,0,111,1005,6822,4,1,1,3,5.0,100,1,1,0,0,5.072801
../Dataset/ReducedLP/scpd4_reduced.lp,0.615525,62.000000,62.000000,0.000000,492,0,42,209,8927,4,1,1,3,5.0,100,1,1,0,0,7.438180
../Dataset/ReducedLP/scpd4_reduced.lp,0.700346,62.000000,62.000000,0.000000,557,0,34,290,9397,4,1,1,3,5.0,100,1,1,0,0,7.163488
../Dataset/ReducedLP/scpd4_reduced.lp,0.654115,62.000000,62.000000,0.000000,583,0,26,317,338,4,1,1,3,5.0,100,1,1,0,0,6.962847
../Dataset/ReducedLP/scpd4_reduced.lp,0.713227,62.000000,62.000000,0.000000,445,0,35,192,1997,4,1,1,3,5.0,100,1,1,0,0,6.612263
../Dataset/ReducedLP/scpd4_reduced.lp,0.611289,62.000000,62.000000,0.000000,360,0,32,155,5538,4,1,1,3,5.0,100,1,1,0,0,7.955104
../Dataset/ReducedLP/scpd4_reduced.lp,0.696721,62.000000,62.000000,0.000000,509,0,21,311,8007,4,1,1,3,5.0,100,1,1,0,0,7.120999
../Dataset/ReducedLP/scpd4_reduced.lp,0.655989,62.000000,62.000000,0.000000,562,0,48,284,8957,4,1,1,3,5.0,100,1,1,0,0,6.720397
