4,CPLEX Default,par = 1.5,par = 2.0,par = 5.0
../Dataset/ReducedLP/scpclr11_reduced.lp,3024.690072,5452.770994,2266.298568,2149.65305
../Dataset/ReducedLP/scpclr11_reduced.lp,1284.35075,5055.400194,1850.513998,2191.411291
../Dataset/ReducedLP/scpclr11_reduced.lp,1567.083379,5457.416068,1422.144398,1670.149407
../Dataset/ReducedLP/scpd1_reduced.lp,1.036398,0.398753,0.400196,0.400001
../Dataset/ReducedLP/scpd1_reduced.lp,0.971398,1.457781,0.493537,0.4991350000000001
../Dataset/ReducedLP/scpd1_reduced.lp,0.458614,0.499526,0.504013,0.506251
../Dataset/ReducedLP/scpd1_reduced.lp,0.8557790000000001,0.5907819999999999,0.500935,0.4991060000000001
../Dataset/ReducedLP/scpd1_reduced.lp,0.460355,0.4919850000000001,0.493667,0.4955479999999999
../Dataset/ReducedLP/scpd1_reduced.lp,0.4501310000000001,0.495543,0.496328,0.492746
../Dataset/ReducedLP/scpd1_reduced.lp,0.404586,0.429572,0.425962,0.430912
../Dataset/ReducedLP/scpd1_reduced.lp,0.434192,0.483789,0.492201,0.493252
../Dataset/ReducedLP/scpd1_reduced.lp,0.448625,0.488504,0.489727,0.487341
../Dataset/ReducedLP/scpd1_reduced.lp,0.44925600000000004,0.50836,0.513699,0.512716
../Dataset/ReducedLP/scpd2_reduced.lp,1.8428470000000001,1.177327,1.327058,1.170512
../Dataset/ReducedLP/scpd2_reduced.lp,1.475644,2.1961880000000003,1.218742,1.183366
../Dataset/ReducedLP/scpd2_reduced.lp,0.9697899999999999,1.242413,1.263418,1.242249
../Dataset/ReducedLP/scpd2_reduced.lp,2.065394,1.454958,1.387516,1.164743
../Dataset/ReducedLP/scpd2_reduced.lp,0.8439260000000001,1.17484,1.06114,1.122519
../Dataset/ReducedLP/scpd2_reduced.lp,0.883632,1.141054,1.202469,1.115081
../Dataset/ReducedLP/scpd2_reduced.lp,0.858978,1.118908,1.265551,1.198883
../Dataset/ReducedLP/scpd2_reduced.lp,0.8729459999999999,1.226474,1.249021,1.134235
../Dataset/ReducedLP/scpd2_reduced.lp,1.009542,1.293771,1.218233,1.204257
../Dataset/ReducedLP/scpd2_reduced.lp,0.933417,1.242199,1.179704,1.213552
../Dataset/ReducedLP/scpd3_reduced.lp,1.152499,0.891282,0.875941,0.8660620000000001
../Dataset/ReducedLP/scpd3_reduced.lp,1.496572,1.977594,0.889742,0.8966870000000001
../Dataset/ReducedLP/scpd3_reduced.lp,0.751931,0.854932,0.8601270000000001,0.891933
../Dataset/ReducedLP/scpd3_reduced.lp,1.4392040000000001,0.963084,0.922745,0.887591
../Dataset/ReducedLP/scpd3_reduced.lp,0.673473,0.814584,0.8167,0.843733
../Dataset/ReducedLP/scpd3_reduced.lp,1.317382,0.844951,0.896965,0.89664
