13,CPLEX Default,par = 1.5 lookahead = 50,par = 1.5 lookahead = 100,par = 1.5 lookahead = 150,par = 1.5 lookahead = 200,par = 2.0 lookahead = 50,par = 2.0 lookahead = 100,par = 2.0 lookahead = 150,par = 2.0 lookahead = 200,par = 5.0 lookahead = 50,par = 5.0 lookahead = 100,par = 5.0 lookahead = 150,par = 5.0 lookahead = 200
../Dataset/ReducedLP/scpc2_reduced.lp,0.967596,0.368148,0.370243,0.36840300000000004,0.364576,0.371674,0.37204899999999996,0.36254200000000003,0.368952,0.367048,0.369429,0.357375,0.364653
../Dataset/ReducedLP/scpc2_reduced.lp,0.354241,0.34617800000000004,0.348177,0.353121,0.35141,0.347146,0.352577,0.347555,0.351472,0.348599,0.351729,0.350373,0.34777600000000003
../Dataset/ReducedLP/scpc2_reduced.lp,0.351648,0.36308,0.367561,0.365089,0.36434,0.364272,0.363606,0.368166,0.366394,0.363722,0.364221,0.365478,0.368491
../Dataset/ReducedLP/scpc2_reduced.lp,0.35070500000000004,0.360528,0.36081599999999997,0.356635,0.354459,0.357935,0.356035,0.356607,0.355245,0.357822,0.35620999999999997,0.357134,0.356586
../Dataset/ReducedLP/scpc2_reduced.lp,0.345288,0.352058,0.355145,0.35060399999999997,0.351618,0.351754,0.35389899999999996,0.34577600000000003,0.349581,0.35241,0.351227,0.349661,0.35012
../Dataset/ReducedLP/scpc3_reduced.lp,0.929154,0.387313,0.389575,0.37805700000000003,0.37993299999999997,0.387308,0.39126700000000003,0.37949499999999997,0.491972,0.394123,0.394465,0.382573,0.38864899999999997
../Dataset/ReducedLP/scpc3_reduced.lp,0.355814,0.364634,0.367539,0.371461,0.369582,0.369757,0.368245,0.367863,0.367408,0.367163,0.369293,0.36901100000000003,0.36833299999999997
../Dataset/ReducedLP/scpc3_reduced.lp,0.355459,0.391713,0.391885,0.376859,0.37414200000000003,0.39908899999999997,0.389096,0.373704,0.3742,0.398674,0.40624,0.375213,0.374106
../Dataset/ReducedLP/scpc3_reduced.lp,0.361836,0.37664,0.387104,0.369178,0.366429,0.377008,0.389944,0.369682,0.36625,0.380537,0.38687,0.36983,0.371031
../Dataset/ReducedLP/scpc3_reduced.lp,0.372698,0.381216,0.39562800000000004,0.377717,0.38637699999999997,0.384361,0.393339,0.380248,0.386911,0.378722,0.391443,0.37900500000000004,0.38994
../Dataset/ReducedLP/scpc3_reduced.lp,1.32051,0.381653,0.38861999999999997,0.373757,0.375266,0.378294,0.382321,0.376303,0.376617,0.382654,0.38425,0.37503200000000003,0.378085
../Dataset/ReducedLP/scpc3_reduced.lp,0.504285,0.527017,0.532137,0.513925,0.5428689999999999,0.52954,0.53037,0.532551,0.547396,0.528366,0.529107,0.513169,0.543161
../Dataset/ReducedLP/scpc3_reduced.lp,0.385093,0.386594,0.38768800000000003,0.387327,0.39639,0.3839,0.383778,0.387822,0.41157200000000005,0.381646,0.382063,0.387228,0.39177
../Dataset/ReducedLP/scpc3_reduced.lp,0.4005780000000001,0.416472,0.411274,0.415067,0.409421,0.41385299999999997,0.412736,0.42016400000000004,0.408511,0.408895,0.41206499999999996,0.421358,0.41901400000000005
../Dataset/ReducedLP/scpc3_reduced.lp,0.368286,0.393374,0.394732,0.387313,0.395021,0.389707,0.391988,0.388754,0.390263,0.394515,0.389329,0.391084,0.391256
../Dataset/ReducedLP/scpclr10_reduced.lp,24.50374,16.238994,18.089031,15.55445,16.191259,15.943704,16.962077999999998,17.815707,16.61368,15.498342000000001,16.383505,16.962467999999998,15.487703
../Dataset/ReducedLP/scpclr10_reduced.lp,11.146887,15.608457,15.244522,12.207078,11.713946,11.464001,11.506169,19.950495,18.250789,11.652934,11.305491,11.374971,11.255894999999999
../Dataset/ReducedLP/scpclr10_reduced.lp,11.05233,17.694962,21.35051,25.237541,21.961717999999998,19.459545000000002,20.093149,19.537213,17.655664,13.251698999999999,12.279876,12.580703999999999,14.277170000000002
../Dataset/ReducedLP/scpclr10_reduced.lp,16.8886,16.755437,20.282605,23.187334,21.412993,18.751379999999997,18.519223,18.770825,16.79436,16.671273,15.921183,16.011699,15.463032
../Dataset/ReducedLP/scpclr10_reduced.lp,6.298415,9.106674,7.503645,8.810288,6.4030190000000005,7.679788,8.2224,7.381975,7.284279,6.636694,6.056568,7.800153,6.6059220000000005
../Dataset/ReducedLP/scpclr10_reduced.lp,5.860030999999998,22.853591,22.497567,24.338967999999998,23.706932000000002,22.245098000000002,22.615872,26.028814999999998,30.597859999999997,23.469264000000003,24.481091,21.660207,22.145583
../Dataset/ReducedLP/scpclr10_reduced.lp,18.606231,9.257867,10.724136,9.186277,9.62876,10.001793,9.687926,9.062155,8.800078,9.092566999999999,7.904717,8.217158,8.743698
../Dataset/ReducedLP/scpclr10_reduced.lp,10.803463,13.5153,14.808038,15.400825,14.943154000000002,14.717417999999999,14.91746,12.980587,12.924368,13.390438,14.989118,15.739729999999998,15.295966
../Dataset/ReducedLP/scpclr10_reduced.lp,21.458966,25.348000000000003,27.205145,25.690367000000002,29.333506,26.029633999999998,28.552246999999998,27.769576,29.490147999999998,24.868791,27.937753999999998,27.496307,28.161646
../Dataset/ReducedLP/scpclr10_reduced.lp,12.302688,13.177535,15.131795,14.140773000000001,15.015319,12.762025,14.240867000000001,13.764514000000002,15.944606,13.404411999999999,12.993456,13.243842,13.349174
../Dataset/ReducedLP/scpclr11_reduced.lp,1392.560093,1262.330196,1408.0449429999999,1345.176741,1321.013531,1303.360741,1309.6812320000001,1237.361473,1282.902573,1274.220061,1285.363925,1299.7895310000001,1300.671115
../Dataset/ReducedLP/scpclr11_reduced.lp,1329.400178,1408.826876,1517.1006539999998,1417.812751,1385.4120970000001,1442.316654,1489.807969,1451.869469,1574.9854619999999,1413.558167,1402.912319,1482.1668710000001,1459.5036460000001
