Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpd4_reduced.lp,1.683001,62.000000,62.000000,0.000000,1296,0,103,758,1867,4,1,1,3,5.0,100,1,1,1,0,4.969924
../Dataset/ReducedLP/scpd4_reduced.lp,0.614119,62.000000,62.000000,0.000000,416,0,36,182,3363,4,1,1,3,5.0,100,1,1,1,0,8.585111
../Dataset/ReducedLP/scpd4_reduced.lp,0.942804,62.000000,62.000000,0.000000,1492,0,111,1005,6822,4,1,1,3,5.0,100,1,1,1,0,5.026347
../Dataset/ReducedLP/scpd4_reduced.lp,0.615832,62.000000,62.000000,0.000000,492,0,42,209,8927,4,1,1,3,5.0,100,1,1,1,0,7.706685
../Dataset/ReducedLP/scpd4_reduced.lp,0.693577,62.000000,62.000000,0.000000,557,0,34,290,9397,4,1,1,3,5.0,100,1,1,1,0,6.838780
../Dataset/ReducedLP/scpd4_reduced.lp,0.659704,62.000000,62.000000,0.000000,583,0,26,317,338,4,1,1,3,5.0,100,1,1,1,0,7.727848
../Dataset/ReducedLP/scpd4_reduced.lp,0.713985,62.000000,62.000000,0.000000,445,0,35,192,1997,4,1,1,3,5.0,100,1,1,1,0,6.570986
../Dataset/ReducedLP/scpd4_reduced.lp,0.612062,62.000000,62.000000,0.000000,360,0,32,155,5538,4,1,1,3,5.0,100,1,1,1,0,7.696767
../Dataset/ReducedLP/scpd4_reduced.lp,0.697753,62.000000,62.000000,0.000000,509,0,21,311,8007,4,1,1,3,5.0,100,1,1,1,0,7.546577
../Dataset/ReducedLP/scpd4_reduced.lp,0.660450,62.000000,62.000000,0.000000,562,0,48,284,8957,4,1,1,3,5.0,100,1,1,1,0,7.629904
