Instance,Time,Best Int.,Best Val.,MIP Gap,Nodes,Nodes Left,Constraint Branching,Varaible Branching,Seed,Threads,Callback,Branching,constraintBranchVer,delta,lookAhead,Reverse,RepeatedFirst,Sort,Average,PreprocessingPercentage
../Dataset/ReducedLP/scpclr11_reduced.lp,3601.032067,23.0,21.943942,0.045916000000000005,1762366,44041,273285,653640,338,4,1,1,3,1.5,50,1,1,2,1,0.008343999999999999
../Dataset/ReducedLP/scpclr11_reduced.lp,3558.923794,23.0,23.0,0.0,1618882,0,219048,604390,1867,4,1,1,3,1.5,50,1,1,2,1,0.008809
../Dataset/ReducedLP/scpclr11_reduced.lp,3601.0117210000003,23.0,21.73345,0.055067,1402445,330561,249399,626086,1997,4,1,1,3,1.5,50,1,1,2,1,0.008467
../Dataset/ReducedLP/scpclr11_reduced.lp,3600.310339,23.0,21.772648999999998,0.053363,1398773,283401,217478,632628,3363,4,1,1,3,1.5,50,1,1,2,1,0.008411
../Dataset/ReducedLP/scpclr11_reduced.lp,3600.315411,23.0,21.944335,0.045898,1662287,41062,221615,646692,5538,4,1,1,3,1.5,50,1,1,2,1,0.008502
../Dataset/ReducedLP/scpclr11_reduced.lp,3600.312378,23.0,21.855594,0.049757,1599154,169486,260802,632670,6822,4,1,1,3,1.5,50,1,1,2,1,0.008468
../Dataset/ReducedLP/scpclr11_reduced.lp,3601.0259340000002,23.0,21.875063,0.04891,1568281,137570,245851,638337,8007,4,1,1,3,1.5,50,1,1,2,1,0.008495
../Dataset/ReducedLP/scpclr11_reduced.lp,3601.036267,23.0,21.779753,0.053054,1400541,276660,208373,659812,8927,4,1,1,3,1.5,50,1,1,2,1,0.008405
../Dataset/ReducedLP/scpclr11_reduced.lp,3600.321049,23.0,21.657493,0.058370000000000005,1419024,422869,257197,674179,8957,4,1,1,3,1.5,50,1,1,2,1,0.008701
../Dataset/ReducedLP/scpclr11_reduced.lp,3600.312083,23.0,21.585589000000002,0.061496,1393652,470383,249672,690722,9397,4,1,1,3,1.5,50,1,1,2,1,0.008454000000000001
