11,CPLEX Default,lunghezza crescente,score reduced costs somma crescente,score reduced costs medio crescente,lunghezza crescente duplicati in cima,score reduced costs somma crescente duplicati in cima,score reduced costs medio crescente duplicati in cima,score reduced costs somma decrescente,score reduced costs medio decrescente,score reduced costs somma decrescente duplicati in cima,score reduced costs medio decrescente duplicati in cima
../Dataset/ReducedLP/scpc3_reduced.lp,0.929154,0.741887,0.387468,0.387934,0.394465,0.420425,0.424895,0.418022,0.416158,0.419497,0.4168770000000001
../Dataset/ReducedLP/scpc3_reduced.lp,0.504285,0.532646,1.009166,1.028835,0.529107,0.530406,0.5337649999999999,0.546851,0.528991,0.538931,0.539588
../Dataset/ReducedLP/scpc3_reduced.lp,0.35581399999999996,0.369027,0.381434,0.379199,0.369293,0.380528,0.381776,0.379408,0.379247,0.375917,0.37639
../Dataset/ReducedLP/scpc3_reduced.lp,0.38509299999999996,0.38401,0.39505,0.394565,0.382063,0.390511,0.391404,0.392012,0.396729,0.387806,0.390487
../Dataset/ReducedLP/scpc3_reduced.lp,0.355459,0.38381,0.417031,0.415145,0.40624,0.408285,0.402223,0.383327,0.386262,0.393139,0.391133
../Dataset/ReducedLP/scpc3_reduced.lp,0.4005780000000001,0.431968,0.42461,0.426009,0.412065,0.422099,0.421137,0.413689,0.416591,0.419426,0.415638
../Dataset/ReducedLP/scpc3_reduced.lp,0.361836,0.369074,0.370352,0.376611,0.38687,0.379777,0.375182,0.378741,0.377469,0.390283,0.385226
../Dataset/ReducedLP/scpc3_reduced.lp,0.368286,0.41265,0.409732,0.405703,0.389329,0.392851,0.731907,0.403016,0.391819,0.397193,0.393004
../Dataset/ReducedLP/scpc3_reduced.lp,0.37269800000000003,0.385546,0.403887,0.398428,0.391443,0.391908,0.393095,0.398551,0.393755,0.397268,0.401234
../Dataset/ReducedLP/scpclr10_reduced.lp,18.606231,23.611269,25.308817,25.335978,24.481091,24.431295,24.445842000000006,25.787772,21.973124,33.032769,33.10096
../Dataset/ReducedLP/scpclr10_reduced.lp,24.50374,14.997694,20.756861,20.721095,16.383505,16.348953,16.346901000000006,17.406341,16.821079,38.826167,38.793336
../Dataset/ReducedLP/scpclr10_reduced.lp,5.8600309999999975,8.692791999999999,15.630176,15.685409,7.904717,7.931761999999999,7.939071,9.881671,8.706660000000001,8.154518,8.147274000000001
../Dataset/ReducedLP/scpclr10_reduced.lp,11.146887,11.906939,12.217155,12.211789,11.305491,11.293838,11.268362,14.250812,10.635873,35.560543,35.65537
../Dataset/ReducedLP/scpclr10_reduced.lp,10.803463,15.199234,13.710306,13.687917,14.989118,15.021010999999998,15.000212,20.981208,17.030652,22.575663,22.574833
../Dataset/ReducedLP/scpclr10_reduced.lp,11.05233,14.484186,16.504101000000002,16.518199,12.279876,12.279571,12.301061,21.698806,17.924622,18.118753,18.18167
../Dataset/ReducedLP/scpclr10_reduced.lp,21.458966,28.915067,24.678563,24.699733,27.937754,27.939895,27.949202000000003,41.744911,29.128398,41.036381,41.070605
../Dataset/ReducedLP/scpclr10_reduced.lp,16.8886,16.946106,17.780889000000005,34.34401,15.921183,15.902729,15.871064000000002,20.513356,17.565073,24.303031,24.288157
../Dataset/ReducedLP/scpclr10_reduced.lp,12.302688,13.930007000000002,12.260206,12.303453,12.993456,12.955974,25.107867,14.625804,12.083256,18.74029,18.77843
../Dataset/ReducedLP/scpclr10_reduced.lp,6.298415,6.651091,6.109629,6.121843,6.056568,6.07405,6.0662980000000015,6.656994,6.325453,6.816248,6.834808
../Dataset/ReducedLP/scpclr11_reduced.lp,1268.873633,1392.607582,1568.246883,1573.594558,1392.951319,1389.436749,1390.379728,1825.970297,1823.410722,1997.522293,1996.165947
../Dataset/ReducedLP/scpclr11_reduced.lp,1604.2516039999994,1285.163198,1509.876901,1508.284203,1285.363925,1284.305032,1283.415622,1667.617609,1729.154302,1833.61469,1830.239947
../Dataset/ReducedLP/scpclr11_reduced.lp,1651.007369,1758.230901,3601.476755,1951.310278,1758.4289440000002,1754.842348,1757.955375,2012.877186,1910.135901,3300.252279,3298.470872
../Dataset/ReducedLP/scpclr11_reduced.lp,1392.560093,1403.359966,1768.575345,1772.368309,1402.912319,1404.222212,1402.000825,1805.893404,3362.529461,2125.935999,2126.552691
../Dataset/ReducedLP/scpclr11_reduced.lp,1413.874656,1516.152327,1644.418601,1636.957498,1517.720342,1520.673517,1516.818875,1795.7585420000007,1497.391082,1677.811818,1680.04262
../Dataset/ReducedLP/scpclr11_reduced.lp,1329.4001779999999,1343.003145,1526.637227,1523.671869,1346.94043,1344.261613,1347.0816539999996,1952.092322,1396.660156,2151.787175,2152.233279
../Dataset/ReducedLP/scpclr11_reduced.lp,1386.028523,1729.5465780000004,1583.463524,1581.539925,1731.391544,1725.7591690000004,1724.788171,1699.1109559999998,1624.78892,1794.4536859999996,1797.719158
../Dataset/ReducedLP/scpclr11_reduced.lp,3024.690072,1507.134453,1808.997044,3476.171138,1508.0123640000004,1505.3081140000004,1506.3475460000002,1931.748969,1776.767877,2399.0402280000008,2399.1269190000007
../Dataset/ReducedLP/scpclr11_reduced.lp,1284.35075,1439.699002,1647.831233,1642.50495,1439.6809970000004,1438.41463,2768.781864,1902.507621,1474.442181,2294.497677,2288.834028
../Dataset/ReducedLP/scpclr11_reduced.lp,1567.083379,1617.545347,1739.797068,1741.391218,1617.523834,1614.981923,1619.050847,1893.983368,1430.626994,2289.721328,2290.46166
../Dataset/ReducedLP/scpd1_reduced.lp,1.036398,0.404391,0.419857,0.416111,0.420824,0.438019,0.440644,0.420079,0.42258,0.434687,0.434806
../Dataset/ReducedLP/scpd1_reduced.lp,0.971398,0.881158,0.499322,0.497704,0.50649,0.527543,0.5190229999999999,0.511195,0.498864,0.526853,0.524995
../Dataset/ReducedLP/scpd1_reduced.lp,0.458614,0.4868020000000001,0.519122,0.517966,0.49438,0.51084,0.508812,0.5131100000000001,0.509473,0.510253,0.505149
../Dataset/ReducedLP/scpd1_reduced.lp,0.8557790000000001,0.495013,0.946384,0.943876,0.4971680000000001,0.5165069999999999,0.515201,0.498153,0.505243,0.5168520000000001,0.512632
../Dataset/ReducedLP/scpd1_reduced.lp,0.460355,0.4826470000000001,0.498047,0.49392,0.479836,0.49753,0.497199,0.511999,0.492492,0.502119,0.5009239999999999
../Dataset/ReducedLP/scpd1_reduced.lp,0.4501310000000001,0.4910310000000001,0.496631,0.498999,0.49459,0.509104,0.506522,0.503925,0.495816,0.506476,0.502739
../Dataset/ReducedLP/scpd1_reduced.lp,0.404586,0.428879,0.434386,0.431029,0.439609,0.8436040000000001,0.842046,0.442682,0.439319,0.448745,0.448946
../Dataset/ReducedLP/scpd1_reduced.lp,0.434192,0.488497,0.4989560000000001,0.498205,0.489765,0.503684,0.501887,0.5198520000000001,0.49334,0.5170859999999999,0.517378
../Dataset/ReducedLP/scpd1_reduced.lp,0.448625,0.479498,0.499955,0.4966060000000001,0.482168,0.498267,0.496859,0.504926,0.494982,0.499409,0.49664
../Dataset/ReducedLP/scpd1_reduced.lp,0.44925600000000004,0.498313,0.5156930000000001,0.508524,0.505811,0.5175270000000001,0.525825,0.506142,0.508155,0.516282,0.52144
../Dataset/ReducedLP/scpd2_reduced.lp,1.8428470000000001,1.112715,1.0711540000000002,1.0850540000000002,1.080966,1.098073,1.112998,1.006745,1.0557299999999998,1.017443,1.024146
../Dataset/ReducedLP/scpd2_reduced.lp,1.475644,1.420703,1.096591,1.091978,1.090766,1.108732,1.108354,1.097167,1.0965129999999998,1.102418,1.100245
../Dataset/ReducedLP/scpd2_reduced.lp,0.9697899999999999,1.025503,1.024131,1.026112,0.981879,1.004415,0.997982,1.05518,1.029557,1.054064,1.054549
../Dataset/ReducedLP/scpd2_reduced.lp,2.065394,1.099443,1.864704,1.86391,0.998737,1.022924,1.018803,1.0819,1.039966,1.017278,1.012389
../Dataset/ReducedLP/scpd2_reduced.lp,0.8439260000000001,0.991422,1.043151,1.020701,0.906517,0.925769,0.929832,0.911267,0.907125,1.0235040000000002,1.021671
../Dataset/ReducedLP/scpd2_reduced.lp,0.883632,0.981926,0.995998,0.994869,0.988175,1.014881,1.011527,1.005135,0.993779,1.037956,1.035751
../Dataset/ReducedLP/scpd2_reduced.lp,0.858978,1.0756,0.949226,0.951454,0.972016,1.890382,1.890945,1.060219,1.1197549999999998,1.155479,1.157476
../Dataset/ReducedLP/scpd2_reduced.lp,0.8729459999999999,0.957774,0.987812,0.989324,0.966334,0.983765,0.986708,0.991123,0.974933,1.000317,1.000828
../Dataset/ReducedLP/scpd2_reduced.lp,1.009542,1.079547,1.09199,1.088717,1.09745,1.118169,1.115527,1.126318,1.107935,1.098539,1.097577
../Dataset/ReducedLP/scpd2_reduced.lp,0.933417,0.996001,1.010259,1.0024030000000002,0.931311,0.957773,0.958573,0.982809,1.010922,0.984345,0.988964
../Dataset/ReducedLP/scpd3_reduced.lp,1.152499,0.773313,0.749169,0.739839,0.7416550000000001,0.7597970000000001,0.758826,0.744607,0.779042,0.7756850000000001,0.771946
../Dataset/ReducedLP/scpd3_reduced.lp,1.496572,1.0578809999999998,0.778521,0.7750130000000001,0.739405,0.760546,0.782827,0.8329559999999999,0.948304,0.8440120000000001,0.843648
../Dataset/ReducedLP/scpd3_reduced.lp,0.751931,0.7712979999999999,0.889917,1.737991,0.8334159999999999,0.859512,0.856941,0.832139,0.816032,0.791728,0.773165
../Dataset/ReducedLP/scpd3_reduced.lp,1.4392040000000001,0.783044,1.507517,1.4825620000000002,0.785867,0.812604,0.807581,0.788998,0.8164640000000001,0.869966,0.8749540000000001
../Dataset/ReducedLP/scpd3_reduced.lp,0.673473,0.766989,0.744577,0.749649,0.797097,0.8227540000000001,0.819058,0.754146,0.763235,0.776667,0.8081020000000001
../Dataset/ReducedLP/scpd3_reduced.lp,1.317382,0.7967569999999999,0.81196,0.812451,0.761023,0.784511,0.782415,0.836124,0.7813829999999999,0.813034,0.810285
../Dataset/ReducedLP/scpd3_reduced.lp,0.720062,0.7570279999999999,0.81947,0.8180970000000001,0.7629130000000001,1.484942,1.483408,0.788071,0.799501,0.78704,0.7841060000000001
