4,CPLEX Default,par = 1.5,par = 2.0,par = 5.0
../Dataset/ReducedLP/scpclr11_reduced.lp,1284.35075,5062.5492,1865.6921,2177.429275
../Dataset/ReducedLP/scpclr11_reduced.lp,1567.083379,5416.789341,1410.964274,1664.657771
../Dataset/ReducedLP/scpd1_reduced.lp,1.036398,0.4000510000000001,0.39887,0.4008
../Dataset/ReducedLP/scpd1_reduced.lp,0.971398,1.535307,0.492389,0.491908
../Dataset/ReducedLP/scpd1_reduced.lp,0.458614,0.5032300000000001,0.505152,0.5037020000000001
../Dataset/ReducedLP/scpd1_reduced.lp,0.8557790000000001,0.538153,0.496041,0.496978
../Dataset/ReducedLP/scpd1_reduced.lp,0.460355,0.496253,0.492881,0.492345
../Dataset/ReducedLP/scpd1_reduced.lp,0.4501310000000001,0.5080560000000001,0.820616,0.491734
../Dataset/ReducedLP/scpd1_reduced.lp,0.404586,0.428652,0.4247,0.429818
../Dataset/ReducedLP/scpd1_reduced.lp,0.434192,0.488047,0.485879,0.489725
../Dataset/ReducedLP/scpd1_reduced.lp,0.448625,0.488569,0.490209,0.48699
../Dataset/ReducedLP/scpd1_reduced.lp,0.449256,0.509409,0.5165649999999999,0.5091979999999999
../Dataset/ReducedLP/scpd2_reduced.lp,1.842847,1.179987,1.301051,1.1724290000000002
../Dataset/ReducedLP/scpd2_reduced.lp,1.475644,1.863285,1.199454,1.185216
../Dataset/ReducedLP/scpd2_reduced.lp,0.96979,1.235957,1.267039,1.245113
../Dataset/ReducedLP/scpd2_reduced.lp,2.065394,2.699726,1.391161,1.16571
../Dataset/ReducedLP/scpd2_reduced.lp,0.8439260000000001,1.185683,1.05674,1.119082
../Dataset/ReducedLP/scpd2_reduced.lp,0.883632,1.146038,1.419871,1.117525
../Dataset/ReducedLP/scpd2_reduced.lp,0.858978,1.126575,1.265045,1.202828
../Dataset/ReducedLP/scpd2_reduced.lp,0.8729459999999999,1.232973,1.249069,1.12854
../Dataset/ReducedLP/scpd2_reduced.lp,1.009542,1.295769,1.206569,1.204103
../Dataset/ReducedLP/scpd2_reduced.lp,0.933417,1.245218,1.180999,1.187458
../Dataset/ReducedLP/scpd3_reduced.lp,1.152499,0.8857799999999999,0.8828159999999999,0.8693190000000001
../Dataset/ReducedLP/scpd3_reduced.lp,1.496572,1.51198,0.8807299999999999,0.90925
../Dataset/ReducedLP/scpd3_reduced.lp,0.751931,0.8508690000000001,0.8554649999999999,0.8947700000000001
../Dataset/ReducedLP/scpd3_reduced.lp,1.439204,0.925066,0.919264,0.888918
../Dataset/ReducedLP/scpd3_reduced.lp,0.673473,0.818837,0.820744,0.850225
../Dataset/ReducedLP/scpd3_reduced.lp,1.317382,0.843583,1.444765,0.892433
../Dataset/ReducedLP/scpd3_reduced.lp,0.720062,0.899583,0.906163,0.920422
../Dataset/ReducedLP/scpd3_reduced.lp,0.707292,1.143043,0.905112,0.864311
../Dataset/ReducedLP/scpd3_reduced.lp,0.7675390000000001,0.929119,0.912723,1.081258
../Dataset/ReducedLP/scpd3_reduced.lp,0.714921,1.009247,0.911616,1.034282
../Dataset/ReducedLP/scpd4_reduced.lp,1.396409,0.7263189999999999,0.708228,0.720548
../Dataset/ReducedLP/scpd4_reduced.lp,0.610991,2.036527,0.987885,0.8749870000000001
../Dataset/ReducedLP/scpd4_reduced.lp,0.666682,0.7509999999999999,0.767842,0.770745
../Dataset/ReducedLP/scpd4_reduced.lp,0.5398430000000001,0.631174,0.633666,0.622599
../Dataset/ReducedLP/scpd4_reduced.lp,0.579721,0.655556,0.650371,0.660333
../Dataset/ReducedLP/scpd4_reduced.lp,0.636706,0.966321,1.18138,1.026623
